City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
217,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
218,Biak,ID,79.23,broken clouds,-0.9131,122.8766,Penginapan Kim
221,Boa Vista,BR,76.98,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
224,Machico,PT,77.13,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
225,Aransas Pass,US,87.84,scattered clouds,27.9095,-97.15,Microtel Inn & Suites by Wyndham Aransas Pass/Corpus Christi
227,Wajima,JP,79.48,broken clouds,37.4,136.9,Wajiima Onsen Yashio
228,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
230,Manaus,BR,82.89,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
231,Vega De Alatorre,MX,82.44,overcast clouds,20.0333,-96.6333,Hotel D Luxe
232,Khandyga,RU,78.57,clear sky,62.6667,135.6,Apel'sin
233,West Bay,KY,83.07,scattered clouds,19.3667,-81.4167,Calypso Cove
238,Ciro Marina,IT,79.63,clear sky,39.3732,17.126,Hotel Miramare
239,Tautira,PF,80.06,clear sky,-17.7333,-149.15,Pension Oaoa
247,Shitanjing,CN,82.56,clear sky,39.2342,106.3439,Yingbin Hotel
248,Katobu,ID,82.13,clear sky,-4.9408,122.5276,La Ode Husein
250,Sosua,DO,80.58,scattered clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
253,Mier,MX,89.42,overcast clouds,26.4333,-99.15,Mier 09
255,Watertown,US,83.25,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
258,Lorengau,PG,85.6,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
262,Sur,OM,85.8,broken clouds,22.5667,59.5289,Sur Plaza Hotel
267,Dwarka,IN,81.86,light rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
271,Husainabad,IN,84.29,overcast clouds,24.5333,84.0167,Mehdinager
274,Mao,ES,80.67,clear sky,39.8885,4.2658,ARTIEM Capri
276,Trinidad,BO,76.69,clear sky,-14.8333,-64.9,Hotel Piesta
279,Kavieng,PG,85.48,few clouds,-2.5744,150.7967,Nusa Island Retreat
280,Kulhudhuffushi,MV,81.41,scattered clouds,6.6221,73.07,Haajy Guest House 1
284,Awbari,LY,78.17,clear sky,26.5921,12.7805,فندق أوباري
288,Loiza,PR,82.4,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
296,Sao Filipe,CV,76.95,light rain,14.8961,-24.4956,Hotel Xaguate
299,Trapani,IT,79.9,clear sky,37.8333,12.6667,
302,Xiamen,CN,89.65,clear sky,24.4798,118.0819,Xiamen Dongchen Hotel
303,Tripoli,LY,78.26,clear sky,32.8752,13.1875,Al Waddan Hotel
306,Oussouye,SN,77.18,moderate rain,12.485,-16.5469,Auberge du Routard
308,Gao,ML,78.66,moderate rain,16.6362,1.637,
310,Yuncheng,CN,83.44,clear sky,35.0231,110.9928,晋州快捷酒店
312,Opelika,US,80.76,clear sky,32.6454,-85.3783,Fairfield Inn & Suites by Marriott Auburn Opelika
318,Ca Mau,VN,83.44,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
319,Mecca,SA,86.67,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
320,Alugan,PH,83.91,overcast clouds,12.2188,125.4808,JM Lodge
323,Panama City,PA,80.44,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
326,Wagar,SD,84.49,overcast clouds,16.1525,36.2032,
327,Waingapu,ID,80.47,few clouds,-9.6567,120.2641,Pondok Wisata Elim
332,Adeje,ES,81.88,clear sky,28.1227,-16.726,Gran Tacande Wellness & Relax
339,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
341,Kuala Terengganu,MY,82.35,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
342,Akdepe,TM,83.19,clear sky,42.0551,59.3788,
345,Brandon,US,80.51,broken clouds,27.9378,-82.2859,Embassy Suites by Hilton Tampa Brandon
346,West Helena,US,83.95,broken clouds,34.5507,-90.6418,Best Western Inn
347,Normal,US,81.68,clear sky,40.5142,-88.9906,"Holiday Inn Express & Suites Bloomington - Normal, an IHG Hotel"
349,Bac Lieu,VN,83.43,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
353,San Patricio,US,87.69,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
354,Chulman,RU,78.15,scattered clouds,56.8479,124.9104,Gostinitsa
358,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
362,Sabzevar,IR,79.88,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
363,Rincon,US,84.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
367,Manoel Urbano,BR,76.84,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
368,Tambovka,RU,75.78,scattered clouds,50.0969,128.0489,Lyzhnaya Gorka
371,Sarakhs,IR,82.54,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
373,Chumphon,TH,78.87,overcast clouds,10.3333,98.8333,สกาน จ๋า.
374,Singaraja,ID,80.98,clear sky,-8.112,115.0882,Puri Bagus Lovina Resort
375,Sai Buri,TH,81.97,broken clouds,6.7013,101.6168,สวนป่ารีสอร์ท
377,Komsomolskiy,UZ,86.72,clear sky,40.4272,71.7189,Ikathouse
379,Kendrapara,IN,83.73,heavy intensity rain,20.5042,86.416,Hotel Mayuri Palace
384,Carbonia,IT,77.02,clear sky,39.1672,8.5222,Lu 'Hotel
391,Terrace,CA,75.11,broken clouds,54.5163,-128.6035,Northern Motor Inn
392,Hohhot,CN,75.49,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
393,Malacatan,GT,79.47,overcast clouds,14.9,-92.05,Hotel de León
394,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
395,Gela,IT,79.88,clear sky,37.0803,14.2307,B&B Santiago
397,Crestview,US,77.56,clear sky,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
400,Sulangan,PH,82.98,overcast clouds,11.1373,123.7228,Maia's Beach Resort
401,Grand-Lahou,CI,75.11,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
402,Thayetmyo,MM,79.29,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
403,Nizwa,OM,84.97,scattered clouds,22.9333,57.5333,Orient Apartments
405,Sola,VU,80.22,clear sky,-13.8833,167.55,Leumerus Bungalows
407,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
408,Pasighat,IN,79.18,overcast clouds,28.0667,95.3333,Siang Guest House
409,Dossor,KZ,75.61,scattered clouds,47.5272,52.9811,"Gostinitsa Orpk ""Nauryz"""
410,Houma,US,82.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
411,Itoman,JP,89.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
412,Tezu,IN,82.49,overcast clouds,27.9167,96.1667,Circuit House
418,Marzuq,YE,75.61,broken clouds,14.4,46.4667,
421,Sakakah,SA,87.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
422,Namtsy,RU,79.88,clear sky,62.7161,129.6658,"""Эңсиэли Киин"""
425,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
426,Namatanai,PG,85.75,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
429,Xam Nua,LA,79.07,clear sky,20.4197,104.0439,Xee Wang Guesthouse
431,Cockburn Town,TC,81.86,few clouds,21.4612,-71.1419,Osprey Beach Hotel
432,Iberia,US,79.86,few clouds,29.9502,-91.7507,back to back rv park
435,Bhadasar,IN,85.08,broken clouds,28.2833,74.3167,OMPRAKASH JAKHAR
436,Ciudad Bolivar,VE,80.35,scattered clouds,8.1222,-63.5497,Hotel Edi
440,Metro,ID,80.29,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
441,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
442,Meulaboh,ID,78.96,overcast clouds,4.1363,96.1285,Kost Pria
446,Tual,ID,79.05,light rain,-5.6667,132.75,Grand Vilia Hotel
449,Milkovo,RU,75.43,few clouds,54.7167,158.6167,"Hotel ""Geologist"""
452,Bardiyah,LY,77.11,clear sky,31.7561,25.0865,بورتو بردية
453,Port Blair,IN,81.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
454,San Carlos Del Zulia,VE,77.0,clear sky,9.0,-71.9135,Hotel El Manantial
455,Taungdwingyi,MM,78.53,overcast clouds,20.0167,95.55,NayNaing MobileService
456,Basar,IN,76.59,overcast clouds,27.9833,94.6667,Dolma Group of Hotels
457,Matay,EG,76.57,clear sky,28.419,30.7792,Nag Aespen
458,Kismayo,SO,75.33,scattered clouds,-0.3582,42.5454,Agan-Hotel
459,Yumen,CN,82.18,clear sky,40.2833,97.2,
461,Nicoya,CR,75.7,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
463,Minamata,JP,85.51,broken clouds,32.2167,130.4,スーパーホテル水俣
464,Tshikapa,CD,79.3,overcast clouds,-6.4167,20.8,Tatem beach
466,Churhat,IN,82.42,scattered clouds,24.428,81.6703,Roshan Lal Namdeo S/o Motilal Namdeo. Prince Namdeo & Raja Namdeo
470,Buraydah,SA,89.17,broken clouds,26.326,43.975,Mövenpick Qassim
471,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
473,Grand Island,US,82.35,broken clouds,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
474,Malandag,PH,81.84,overcast clouds,6.3094,125.2428,Princess
475,Shache,CN,88.95,clear sky,38.4167,77.2406,Delong Hotel
476,San Jose,US,85.28,clear sky,37.3394,-121.895,The Westin San Jose
478,Touros,BR,75.02,few clouds,-5.1989,-35.4608,INN NEW HORIZON
479,Adre,TD,76.3,broken clouds,13.4667,22.2,
483,Fez,MA,86.25,clear sky,34.0372,-4.9998,Hotel Mounia Fès
485,Marsh Harbour,BS,82.92,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
487,Koumac,NC,75.78,overcast clouds,-20.5667,164.2833,Le Monitel
488,Makakilo City,US,88.12,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
493,Sabha,LY,78.24,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
497,Hushitai,CN,76.91,broken clouds,41.9322,123.5114,Home Inn Plus Shenyang Shihutai University Town
501,Toledo,ES,76.86,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
505,Nishihara,JP,88.88,few clouds,26.1842,127.7558,Minshuku Agaihama
510,East Angus,CA,77.25,clear sky,45.4834,-71.6658,Pierrette Bolduc
513,Lixourion,GR,78.4,clear sky,38.2019,20.4314,Hotel Summery
515,Tiznit,MA,84.88,broken clouds,29.5833,-9.5,
520,Gushi,CN,81.07,clear sky,34.6425,109.5843,Wansheng Yuan Hotel
