City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bubaque,GW,11.2833,-15.8333,79.65,82,99,13.71,moderate rain
79,Sitka,US,57.0531,-135.33,55.29,88,100,12.66,overcast clouds
80,Plettenberg Bay,ZA,-34.0527,23.3716,52.56,78,97,9.06,light rain
81,Porto Novo,BJ,6.4965,2.6036,78.62,89,89,5.39,light rain
82,Kasane,BW,-17.8167,25.15,56.61,53,8,4.12,clear sky
83,Nemuro,JP,43.3236,145.575,63.36,90,97,5.88,light rain
84,Talnakh,RU,69.4865,88.3972,78.62,33,100,6.55,overcast clouds
85,Hithadhoo,MV,-0.6,73.0833,81.39,71,100,1.7,overcast clouds
86,Bluff,NZ,-46.6,168.3333,46.8,77,9,0.49,clear sky
87,Hualmay,PE,-11.0964,-77.6139,61.54,86,27,6.11,scattered clouds
88,Saint George,US,37.1041,-113.5841,99.59,23,100,13.47,overcast clouds
89,Faanui,PF,-16.4833,-151.75,79.36,72,0,12.41,clear sky
90,Albany,US,42.6001,-73.9662,74.16,59,15,6.76,few clouds
91,Tuatapere,NZ,-46.1333,167.6833,49.73,72,9,1.86,clear sky
92,Vila Do Maio,CV,15.1333,-23.2167,77.79,86,91,1.95,overcast clouds
93,Avarua,CK,-21.2078,-159.775,70.99,68,83,21.16,broken clouds
94,Nelson Bay,AU,-32.7167,152.15,61.0,91,72,5.01,broken clouds
95,Acajutla,SV,13.5928,-89.8275,79.68,82,100,5.39,light rain
96,Jamestown,US,42.097,-79.2353,74.84,83,0,9.22,clear sky
97,Shiraz,IR,29.6036,52.5388,76.44,41,1,0.0,clear sky
98,Henties Bay,NA,-22.116,14.2845,54.25,93,0,5.3,clear sky
99,Mount Pleasant,US,32.7941,-79.8626,82.99,92,0,4.61,mist
100,Ostersund,SE,63.1792,14.6357,51.62,87,100,1.99,overcast clouds
101,Ayan,RU,56.45,138.1667,65.19,72,100,10.65,overcast clouds
102,Tiksi,RU,71.6872,128.8694,48.45,74,51,7.87,broken clouds
103,Vila Velha,BR,-20.3297,-40.2925,71.55,88,75,3.44,broken clouds
104,Saskylakh,RU,71.9167,114.0833,61.88,65,10,4.81,clear sky
